CountryName,2003 E-Participation Index,2003 E-Government Index,2003 Human Capital Index,2003 Online Service Index,2003 Infrastructure Index,2003 E-Government Rank,2003 Online Service Rank
Afghanistan ,0.034,0.118,0.268,0.083,0.002,168,NULL
Albania ,0.017,0.311,0.8,0.083,0.049,114,NULL
Algeria ,0.052,0.37,0.69,0.384,0.036,91,NULL
Andorra ,0.034,0.174,0,0.214,0.309,156,NULL
Angola ,0.069,0.192,0.36,0.21,0.007,148,NULL
Antigua and Barbuda ,0,0.364,0.81,0.039,0.244,92,NULL
Argentina ,0.586,0.577,0.92,0.624,0.187,31,NULL
Armenia ,0.052,0.377,0.92,0.14,0.07,86,NULL
Australia ,0.621,0.831,0.99,0.812,0.691,3,NULL
Austria,0.138,0.676,0.96,0.476,0.591,21,NULL
Azerbaijan ,0.017,0.364,0.88,0.131,0.08,94,NULL
Bahamas ,0.052,0.429,0.88,0.214,0.193,64,NULL
Bahrain ,0.052,0.51,0.85,0.332,0.347,46,NULL
Bangladesh ,0.017,0.165,0.4,0.092,0.004,159,NULL
Barbados ,0.034,0.413,0.91,0.122,0.206,76,NULL
Belarus ,0.034,0.397,0.92,0.122,0.147,81,NULL
Belgium ,0.293,0.67,0.99,0.507,0.514,23,NULL
Belize ,0.017,0.422,0.86,0.253,0.153,71,NULL
Benin ,0.034,0.235,0.4,0.293,0.012,141,NULL
Bhutan ,0.017,0.157,0.42,0.035,0.015,161,NULL
Bolivia ,0.397,0.411,0.8,0.378,0.055,78,NULL
Bosnia and Herzegovina ,0.034,0.309,0.737,0.131,0.059,115,NULL
Botswana ,0.017,0.347,0.75,0.223,0.067,101,NULL
Brazil ,0.379,0.527,0.83,0.576,0.174,41,NULL
Brunei Darussalam ,0.017,0.459,0.86,0.266,0.25,55,NULL
Bulgaria ,0.138,0.548,0.9,0.537,0.207,35,NULL
Burkina Faso ,0,0.135,0.23,0.17,0.005,164,NULL
Burundi ,0,0.181,0.38,0.157,0.005,152,NULL
Cambodia ,0.138,0.264,0.66,0.127,0.004,134,NULL
Cameroon ,0.052,0.27,0.65,0.148,0.012,129,NULL
Canada ,0.828,0.806,0.98,0.764,0.675,6,NULL
Cape Verde ,0.069,0.322,0.75,0.131,0.086,113,NULL
Central African Republic ,0,0,0.39,0,0.002,174,NULL
Chad ,0,0,0.39,0,0.002,174,NULL
Chile ,0.828,0.671,0.9,0.838,0.275,22,NULL
China ,0.069,0.416,0.8,0.332,0.116,74,NULL
Colombia ,0.155,0.443,0.85,0.362,0.118,57,NULL
Comoros ,0.086,0.176,0.49,0.031,0.007,155,NULL
Congo ,0,0.265,0.75,0.035,0.011,132,NULL
Costa Rica ,0.086,0.427,0.86,0.223,0.198,66,NULL
Côte d'Ivoire ,0,0,0.44,0,0.021,174,NULL
Croatia ,0.241,0.531,0.88,0.424,0.291,39,NULL
Cuba ,0.052,0.372,0.9,0.166,0.051,88,NULL
Cyprus ,0.017,0.474,0.88,0.114,0.429,51,NULL
Czech Republic ,0.241,0.542,0.89,0.349,0.386,36,NULL
Democratic People's Republic of Korea ,0,0,0,0,0.011,174,NULL
Democratic Republic of the Congo ,0,0,0.51,0,0.001,174,NULL
Denmark ,0.448,0.82,0.98,0.694,0.787,4,NULL
Djibouti ,0,0.179,0.5,0.017,0.019,153,NULL
Dominica ,0,0,0.86,0,0.19,174,NULL
Dominican Republic ,0.397,0.438,0.8,0.445,0.067,60,NULL
Ecuador ,0.069,0.378,0.87,0.175,0.089,85,NULL
Egypt ,0.017,0.238,0.62,0.035,0.06,140,NULL
El Salvador ,0.328,0.409,0.74,0.406,0.082,80,NULL
Equatorial Guinea ,0,0,0.77,0,0.013,174,NULL
Eritrea ,0,0,0.46,0,0.007,174,NULL
Estonia ,0.759,0.697,0.95,0.642,0.498,16,NULL
Ethiopia ,0.034,0.128,0.35,0.031,0.003,166,NULL
Fiji ,0.052,0.425,0.9,0.301,0.074,68,NULL
Finland ,0.448,0.761,0.99,0.603,0.691,10,NULL
France,0.638,0.69,0.97,0.57,0.529,19,NULL
Gabon ,0,0.283,0.76,0.013,0.077,123,NULL
Gambia ,0.017,0.172,0.39,0.105,0.021,158,NULL
Georgia ,0.017,0.351,0.89,0.048,0.115,99,NULL
Germany ,0.534,0.762,0.97,0.683,0.632,9,NULL
Ghana ,0.034,0.241,0.62,0.083,0.019,139,NULL
Greece ,0.086,0.54,0.92,0.328,0.372,37,NULL
Grenada ,0,0.348,0.85,0.004,0.19,100,NULL
Guatemala ,0.086,0.329,0.62,0.323,0.044,109,NULL
Guinea ,0,0.132,0.37,0.017,0.009,165,NULL
Guinea-Bissau ,0,0,0.38,0,0.004,174,NULL
Guyana ,0.052,0.422,0.88,0.266,0.119,72,NULL
Haiti ,0,0,0.5,0,0.012,174,NULL
Honduras ,0.034,0.28,0.7,0.1,0.041,124,NULL
Hungary ,0.293,0.516,0.93,0.312,0.307,44,NULL
Iceland ,0.086,0.702,0.96,0.336,0.809,15,NULL
India ,0.259,0.373,0.57,0.522,0.027,87,NULL
Indonesia ,0.259,0.422,0.79,0.432,0.045,70,NULL
Iran (Islamic Republic of) ,0.034,0.33,0.75,0.148,0.09,107,NULL
Iraq ,0,0,0.93,0,0.016,174,NULL
Ireland ,0.586,0.697,0.96,0.616,0.514,17,NULL
Israel ,0.397,0.663,0.91,0.633,0.447,24,NULL
Italy ,0.466,0.685,0.94,0.616,0.499,20,NULL
Jamaica ,0.155,0.432,0.79,0.38,0.127,61,NULL
Japan ,0.431,0.693,0.93,0.524,0.626,18,NULL
Jordan ,0.172,0.429,0.78,0.419,0.089,63,NULL
Kazakhstan ,0.103,0.387,0.91,0.188,0.062,83,NULL
Kenya ,0,0.299,0.72,0.157,0.021,118,NULL
Kiribati ,0,0,0,0,0.026,174,NULL
Kuwait ,0.017,0.37,0.74,0.144,0.226,90,NULL
Kyrgyzstan ,0.034,0.327,0.87,0.074,0.037,110,NULL
Lao People's Democratic Republic ,0,0.192,0.52,0.048,0.007,149,NULL
Latvia ,0.086,0.506,0.93,0.266,0.321,48,NULL
Lebanon ,0.086,0.424,0.83,0.253,0.188,69,NULL
Lesotho ,0.034,0.346,0.76,0.269,0.011,102,NULL
Liberia ,0,0,0,0,0.003,174,NULL
Libyan Arab Jamahiriya ,0,0,0.84,0,0.043,174,NULL
Liechtenstein,0.069,0.178,0,0.214,0.319,154,NULL
Lithuania ,0.103,0.557,0.93,0.524,0.218,34,NULL
Luxembourg,0.293,0.656,0.9,0.408,0.66,25,NULL
Madagascar ,0.19,0.229,0.59,0.092,0.007,144,NULL
Malawi ,0.017,0.233,0.65,0.044,0.005,142,NULL
Malaysia,0.121,0.524,0.8,0.48,0.292,43,NULL
Maldives,0.034,0.41,0.9,0.262,0.069,79,NULL
Mali ,0.017,0.14,0.37,0.044,0.005,163,NULL
Malta ,0.345,0.636,0.88,0.568,0.46,27,NULL
Marshall Islands ,0.017,0.038,0,0.074,0.04,172,NULL
Mauritania ,0.034,0.161,0.4,0.057,0.027,160,NULL
Mauritius ,0.086,0.471,0.77,0.448,0.196,52,NULL
Mexico ,0.603,0.593,0.84,0.808,0.132,30,NULL
Micronesia (Federated States of) ,0.017,0.526,1.422,0.118,0.04,42,NULL
Monaco ,0.017,0.189,0,0.127,0.44,150,NULL
Mongolia ,0.379,0.343,0.85,0.14,0.04,103,NULL
Montenegro,,,,,,,
Morocco ,0.138,0.265,0.5,0.236,0.061,131,NULL
Mozambique ,0.086,0.173,0.37,0.144,0.004,157,NULL
Myanmar ,0,0.28,0.75,0.087,0.003,126,NULL
Namibia ,0.017,0.34,0.81,0.153,0.056,104,NULL
Nauru ,0.017,0.293,0.81,0.035,0.035,121,NULL
Nepal ,0.138,0.268,0.48,0.319,0.006,130,NULL
Netherlands ,0.638,0.746,0.99,0.539,0.71,11,NULL
New Zealand ,0.69,0.718,0.99,0.552,0.613,14,NULL
Nicaragua ,0.31,0.324,0.65,0.288,0.033,112,NULL
Niger ,0,0.06,0.16,0.013,0.005,170,NULL
Nigeria ,0.207,0.225,0.58,0.083,0.013,145,NULL
Norway ,0.345,0.778,0.98,0.581,0.774,7,NULL
Oman ,0.259,0.355,0.67,0.262,0.132,98,NULL
Pakistan ,0.155,0.247,0.42,0.297,0.026,137,NULL
Palau ,0,0.009,0,0.026,0,173,NULL
Panama ,0.362,0.432,0.86,0.341,0.095,62,NULL
Papua New Guinea ,0,0.25,0.55,0.17,0.031,136,NULL
Paraguay ,0.224,0.413,0.83,0.336,0.074,75,NULL
Peru ,0.138,0.463,0.87,0.408,0.111,53,NULL
Philippines ,0.672,0.574,0.91,0.747,0.064,33,NULL
Poland ,0.397,0.576,0.94,0.541,0.248,32,NULL
Portugal ,0.448,0.646,0.94,0.507,0.49,26,NULL
Qatar ,0,0.411,0.79,0.135,0.308,77,NULL
Republic of Korea ,0.483,0.744,0.95,0.607,0.675,13,NULL
Republic of Moldova ,0.034,0.363,0.9,0.07,0.12,95,NULL
Romania ,0.052,0.483,0.88,0.419,0.149,50,NULL
Russian Federation ,0.052,0.443,0.92,0.223,0.185,58,NULL
Rwanda ,0.017,0.244,0.58,0.148,0.003,138,NULL
Saint Kitts and Nevis ,0.034,0.426,0.89,0.14,0.248,67,NULL
Saint Lucia ,0.086,0.438,0.83,0.308,0.176,59,NULL
Saint Vincent and the Grenadines ,0,0.326,0.79,0.052,0.136,111,NULL
Samoa ,0.017,0.299,0.75,0.114,0.034,117,NULL
San Marino ,0.017,0.28,0,0.201,0.64,125,NULL
Sao Tome and Principe ,0,0.272,0.75,0.013,0.054,128,NULL
Saudi Arabia ,0.034,0.338,0.71,0.183,0.119,105,NULL
Senegal ,0.086,0.201,0.37,0.205,0.027,147,NULL
Serbia,0.034,0.371,0.694,0.284,0.134,89,NULL
Seychelles ,0.069,0.42,0.83,0.188,0.241,73,NULL
Sierra Leone ,0,0.126,0.33,0.044,0.005,167,NULL
Singapore ,0.466,0.746,0.87,0.703,0.666,12,NULL
Slovakia ,0.172,0.528,0.91,0.38,0.294,40,NULL
Slovenia ,0.31,0.631,0.94,0.441,0.513,28,NULL
Solomon Islands ,0,0.284,0.68,0.148,0.022,122,NULL
Somalia ,0,0.049,0.096,0.048,0.002,171,NULL
South Africa ,0.259,0.515,0.88,0.539,0.126,45,NULL
Spain ,0.155,0.602,0.97,0.428,0.409,29,NULL
Sri Lanka ,0.293,0.385,0.84,0.279,0.036,84,NULL
Sudan ,0.121,0.206,0.5,0.079,0.04,146,NULL
Suriname ,0,0,0.9,0,0.118,174,NULL
Swaziland ,0,0.295,0.77,0.079,0.037,120,NULL
Sweden ,0.586,0.84,0.99,0.683,0.846,2,NULL
Switzerland ,0.466,0.764,0.94,0.668,0.682,8,NULL
Syrian Arab Republic ,0,0.264,0.71,0.044,0.038,133,NULL
Tajikistan ,0,0,0.88,0,0.046,174,NULL
Thailand ,0.103,0.446,0.84,0.38,0.117,56,NULL
The former Yugoslav Republic of Macedonia ,0.19,0.362,0.86,0.114,0.111,96,NULL
Timor-Leste,0.086,0.087,0,0.262,0,169,NULL
Togo ,0.017,0.231,0.59,0.07,0.034,143,NULL
Tonga ,0,0.391,0.92,0.201,0.051,82,NULL
Trinidad and Tobago ,0.207,0.427,0.84,0.236,0.206,65,NULL
Tunisia ,0.017,0.329,0.72,0.179,0.089,108,NULL
Turkey ,0.207,0.506,0.77,0.555,0.192,49,NULL
Turkmenistan ,0.017,0.335,0.92,0.044,0.042,106,NULL
Tuvalu ,0,0,0,0,0.015,174,NULL
Uganda ,0.034,0.296,0.6,0.279,0.007,119,NULL
Ukraine,0.397,0.462,0.92,0.349,0.116,54,NULL
United Arab Emirates ,0.172,0.535,0.74,0.419,0.444,38,NULL
United Kingdom of Great Britain and Northern Ireland,1,0.814,0.99,0.777,0.675,5,NULL
United Republic of Tanzania ,0.017,0.253,0.61,0.14,0.009,135,NULL
United States of America ,0.966,0.927,0.98,1,0.801,1,NULL
Uruguay ,0.069,0.507,0.92,0.358,0.244,47,NULL
Uzbekistan ,0,0,0.91,0,0.053,174,NULL
Vanuatu ,0.034,0.142,0.35,0.052,0.023,162,NULL
Venezuela ,0.155,0.364,0.83,0.144,0.117,93,NULL
Viet Nam ,0.017,0.357,0.84,0.183,0.048,97,NULL
Yemen ,0.034,0.188,0.48,0.044,0.039,151,NULL
Zambia ,0.017,0.276,0.68,0.127,0.023,127,NULL
Zimbabwe ,0.052,0.304,0.81,0.061,0.042,116,NULL

,,,,"Source: United Nations E-Government Development Knowledge Base, http://www.unpan.org/egovkb",,,
