month,barbados
1970-01-01 00:00:00,48.26
1970-02-01 00:00:00,45.47
1970-03-01 00:00:00,48.01
1970-04-01 00:00:00,13.72
1970-05-01 00:00:00,36.58
1970-06-01 00:00:00,146.05
1970-07-01 00:00:00,216.15
1970-08-01 00:00:00,113.54
1970-09-01 00:00:00,134.37
1970-10-01 00:00:00,304.54
1970-11-01 00:00:00,177.29
1970-12-01 00:00:00,126.75
1971-01-01 00:00:00,36.83
1971-02-01 00:00:00,27.43
1971-03-01 00:00:00,60.20
1971-04-01 00:00:00,15.24
1971-05-01 00:00:00,34.80
1971-06-01 00:00:00,28.19
1971-07-01 00:00:00,47.24
1971-08-01 00:00:00,293.10
1971-09-01 00:00:00,98.30
1971-10-01 00:00:00,72.39
1971-11-01 00:00:00,308.90
1971-12-01 00:00:00,121.40
1972-01-01 00:00:00,77.98
1972-02-01 00:00:00,65.79
1972-03-01 00:00:00,40.39
1972-04-01 00:00:00,56.64
1972-05-01 00:00:00,28.19
1972-06-01 00:00:00,20.83
1972-07-01 00:00:00,79.76
1972-08-01 00:00:00,129.00
1972-09-01 00:00:00,106.20
1972-10-01 00:00:00,82.30
1972-11-01 00:00:00,82.04
1972-12-01 00:00:00,127.30
1973-01-01 00:00:00,31.75
1973-02-01 00:00:00,28.70
1973-03-01 00:00:00,70.36
1973-04-01 00:00:00,27.69
1973-05-01 00:00:00,29.72
1973-06-01 00:00:00,120.90
1973-07-01 00:00:00,49.53
1973-08-01 00:00:00,199.40
1973-09-01 00:00:00,75.69
1973-10-01 00:00:00,169.20
1973-11-01 00:00:00,197.90
1973-12-01 00:00:00,32.51
1974-01-01 00:00:00,29.46
1974-02-01 00:00:00,42.42
1974-03-01 00:00:00,34.04
1974-04-01 00:00:00,36.83
1974-05-01 00:00:00,33.27
1974-06-01 00:00:00,43.18
1974-07-01 00:00:00,32.00
1974-08-01 00:00:00,105.70
1974-09-01 00:00:00,51.56
1974-10-01 00:00:00,195.60
1974-11-01 00:00:00,196.10
1974-12-01 00:00:00,42.67
1975-01-01 00:00:00,43.18
1975-02-01 00:00:00,34.29
1975-03-01 00:00:00,35.81
1975-04-01 00:00:00,50.80
1975-05-01 00:00:00,13.46
1975-06-01 00:00:00,7.87
1975-07-01 00:00:00,28.19
1975-08-01 00:00:00,200.40
1975-09-01 00:00:00,102.10
1975-10-01 00:00:00,239.00
1975-11-01 00:00:00,266.40
1975-12-01 00:00:00,189.20
1976-01-01 00:00:00,57.66
1976-02-01 00:00:00,97.28
1976-03-01 00:00:00,29.72
1976-04-01 00:00:00,59.69
1976-05-01 00:00:00,48.51
1976-06-01 00:00:00,56.13
1976-07-01 00:00:00,93.22
1976-08-01 00:00:00,77.22
1976-09-01 00:00:00,80.52
1976-10-01 00:00:00,193.50
1976-11-01 00:00:00,70.36
1976-12-01 00:00:00,205.20
1977-01-01 00:00:00,8.89
1977-02-01 00:00:00,30.48
1977-03-01 00:00:00,9.14
1977-04-01 00:00:00,55.63
1977-05-01 00:00:00,31.24
1977-06-01 00:00:00,45.72
1977-07-01 00:00:00,78.23
1977-08-01 00:00:00,136.90
1977-09-01 00:00:00,137.40
1977-10-01 00:00:00,277.10
1977-11-01 00:00:00,94.74
1977-12-01 00:00:00,23.88
1978-01-01 00:00:00,21.08
1978-02-01 00:00:00,21.08
1978-03-01 00:00:00,66.80
1978-04-01 00:00:00,33.27
1978-05-01 00:00:00,26.16
1978-06-01 00:00:00,104.60
1978-07-01 00:00:00,97.03
1978-08-01 00:00:00,136.10
1978-09-01 00:00:00,122.90
1978-10-01 00:00:00,250.20
1978-11-01 00:00:00,115.80
1978-12-01 00:00:00,45.72
1979-01-01 00:00:00,21.80
1979-02-01 00:00:00,0.76
1979-03-01 00:00:00,68.33
1979-04-01 00:00:00,43.94
1979-05-01 00:00:00,32.00
1979-06-01 00:00:00,146.81
1979-07-01 00:00:00,164.34
1979-08-01 00:00:00,168.91
1979-09-01 00:00:00,102.62
1979-10-01 00:00:00,129.03
1979-11-01 00:00:00,171.20
1979-12-01 00:00:00,124.46
1980-01-01 00:00:00,80.01
1980-02-01 00:00:00,36.32
1980-03-01 00:00:00,33.02
1980-04-01 00:00:00,7.37
1980-05-01 00:00:00,24.89
1980-06-01 00:00:00,90.68
1980-07-01 00:00:00,101.85
1980-08-01 00:00:00,338.33
1980-09-01 00:00:00,84.58
1980-10-01 00:00:00,161.80
1980-11-01 00:00:00,111.00
1980-12-01 00:00:00,87.38
1981-01-01 00:00:00,30.20
1981-02-01 00:00:00,50.50
1981-03-01 00:00:00,47.20
1981-04-01 00:00:00,304.80
1981-05-01 00:00:00,253.20
1981-06-01 00:00:00,127.80
1981-07-01 00:00:00,154.20
1981-08-01 00:00:00,175.30
1981-09-01 00:00:00,64.30
1981-10-01 00:00:00,241.30
1981-11-01 00:00:00,140.20
1981-12-01 00:00:00,73.90
1982-01-01 00:00:00,104.10
1982-02-01 00:00:00,97.00
1982-03-01 00:00:00,11.10
1982-04-01 00:00:00,82.50
1982-05-01 00:00:00,21.40
1982-06-01 00:00:00,34.90
1982-07-01 00:00:00,111.50
1982-08-01 00:00:00,236.10
1982-09-01 00:00:00,91.10
1982-10-01 00:00:00,102.40
1982-11-01 00:00:00,101.00
1982-12-01 00:00:00,79.20
1983-01-01 00:00:00,89.70
1983-02-01 00:00:00,11.70
1983-03-01 00:00:00,13.20
1983-04-01 00:00:00,42.20
1983-05-01 00:00:00,88.40
1983-06-01 00:00:00,67.30
1983-07-01 00:00:00,210.60
1983-08-01 00:00:00,90.40
1983-09-01 00:00:00,136.90
1983-10-01 00:00:00,101.10
1983-11-01 00:00:00,36.10
1983-12-01 00:00:00,83.30
1984-01-01 00:00:00,120.40
1984-02-01 00:00:00,34.50
1984-03-01 00:00:00,42.90
1984-04-01 00:00:00,5.60
1984-05-01 00:00:00,43.80
1984-06-01 00:00:00,54.10
1984-07-01 00:00:00,292.00
1984-08-01 00:00:00,72.50
1984-09-01 00:00:00,146.90
1984-10-01 00:00:00,182.80
1984-11-01 00:00:00,283.60
1984-12-01 00:00:00,94.40
1985-01-01 00:00:00,32.30
1985-02-01 00:00:00,52.70
1985-03-01 00:00:00,34.10
1985-04-01 00:00:00,100.30
1985-05-01 00:00:00,32.30
1985-06-01 00:00:00,16.00
1985-07-01 00:00:00,142.00
1985-08-01 00:00:00,190.80
1985-09-01 00:00:00,114.00
1985-10-01 00:00:00,311.40
1985-11-01 00:00:00,153.20
1985-12-01 00:00:00,115.10
1986-01-01 00:00:00,69.20
1986-02-01 00:00:00,23.90
1986-03-01 00:00:00,47.70
1986-04-01 00:00:00,46.00
1986-05-01 00:00:00,37.40
1986-06-01 00:00:00,118.80
1986-07-01 00:00:00,83.70
1986-08-01 00:00:00,137.80
1986-09-01 00:00:00,102.80
1986-10-01 00:00:00,177.60
1986-11-01 00:00:00,202.70
1986-12-01 00:00:00,64.80
1987-01-01 00:00:00,10.70
1987-02-01 00:00:00,12.30
1987-03-01 00:00:00,38.10
1987-04-01 00:00:00,3.60
1987-05-01 00:00:00,158.80
1987-06-01 00:00:00,135.30
1987-07-01 00:00:00,72.30
1987-08-01 00:00:00,145.80
1987-09-01 00:00:00,110.00
1987-10-01 00:00:00,99.30
1987-11-01 00:00:00,260.30
1987-12-01 00:00:00,98.30
1988-01-01 00:00:00,67.90
1988-02-01 00:00:00,52.00
1988-03-01 00:00:00,45.10
1988-04-01 00:00:00,16.40
1988-05-01 00:00:00,28.00
1988-06-01 00:00:00,148.10
1988-07-01 00:00:00,97.50
1988-08-01 00:00:00,133.70
1988-09-01 00:00:00,267.40
1988-10-01 00:00:00,303.00
1988-11-01 00:00:00,238.30
1988-12-01 00:00:00,43.70
1989-01-01 00:00:00,43.80
1989-02-01 00:00:00,49.90
1989-03-01 00:00:00,82.30
1989-04-01 00:00:00,38.70
1989-05-01 00:00:00,3.80
1989-06-01 00:00:00,31.00
1989-07-01 00:00:00,101.60
1989-08-01 00:00:00,53.00
1989-09-01 00:00:00,298.90
1989-10-01 00:00:00,52.00
1989-11-01 00:00:00,213.10
1989-12-01 00:00:00,67.90
1990-01-01 00:00:00,103.30
1990-02-01 00:00:00,64.90
1990-03-01 00:00:00,28.80
1990-04-01 00:00:00,79.30
1990-05-01 00:00:00,203.10
1990-06-01 00:00:00,106.40
1990-07-01 00:00:00,83.40
1990-08-01 00:00:00,94.50
1990-09-01 00:00:00,109.40
1990-10-01 00:00:00,224.70
1990-11-01 00:00:00,70.40
1990-12-01 00:00:00,88.50
1991-01-01 00:00:00,24.70
1991-02-01 00:00:00,27.40
1991-03-01 00:00:00,45.70
1991-04-01 00:00:00,144.20
1991-05-01 00:00:00,20.30
1991-06-01 00:00:00,45.80
1991-07-01 00:00:00,99.50
1991-08-01 00:00:00,94.90
1991-09-01 00:00:00,148.10
1991-10-01 00:00:00,113.20
1991-11-01 00:00:00,513.90
1991-12-01 00:00:00,20.40
1992-01-01 00:00:00,60.70
1992-02-01 00:00:00,69.90
1992-03-01 00:00:00,17.10
1992-04-01 00:00:00,36.30
1992-05-01 00:00:00,214.00
1992-06-01 00:00:00,240.30
1992-07-01 00:00:00,111.10
1992-08-01 00:00:00,119.30
1992-09-01 00:00:00,191.20
1992-10-01 00:00:00,34.60
1992-11-01 00:00:00,180.80
1992-12-01 00:00:00,66.30
1993-01-01 00:00:00,84.70
1993-02-01 00:00:00,38.30
1993-03-01 00:00:00,51.10
1993-04-01 00:00:00,22.20
1993-05-01 00:00:00,112.70
1993-06-01 00:00:00,100.00
1993-07-01 00:00:00,142.80
1993-08-01 00:00:00,57.30
1993-09-01 00:00:00,170.00
1993-10-01 00:00:00,160.10
1993-11-01 00:00:00,92.30
1993-12-01 00:00:00,32.70
1994-01-01 00:00:00,79.80
1994-02-01 00:00:00,33.60
1994-03-01 00:00:00,19.60
1994-04-01 00:00:00,10.00
1994-05-01 00:00:00,13.20
1994-06-01 00:00:00,55.70
1994-07-01 00:00:00,66.70
1994-08-01 00:00:00,157.50
1994-09-01 00:00:00,350.00
1994-10-01 00:00:00,169.90
1994-11-01 00:00:00,91.50
1994-12-01 00:00:00,94.10
1995-01-01 00:00:00,62.30
1995-02-01 00:00:00,45.60
1995-03-01 00:00:00,58.00
1995-04-01 00:00:00,77.30
1995-05-01 00:00:00,18.80
1995-06-01 00:00:00,128.10
1995-07-01 00:00:00,115.10
1995-08-01 00:00:00,314.50
1995-09-01 00:00:00,124.10
1995-10-01 00:00:00,202.60
1995-11-01 00:00:00,74.70
1995-12-01 00:00:00,61.10
1996-01-01 00:00:00,58.40
1996-02-01 00:00:00,23.20
1996-03-01 00:00:00,37.00
1996-04-01 00:00:00,74.00
1996-05-01 00:00:00,38.00
1996-06-01 00:00:00,81.70
1996-07-01 00:00:00,229.10
1996-08-01 00:00:00,113.40
1996-09-01 00:00:00,223.30
1996-10-01 00:00:00,223.90
1996-11-01 00:00:00,66.80
1996-12-01 00:00:00,68.40
1997-01-01 00:00:00,72.20
1997-02-01 00:00:00,32.50
1997-03-01 00:00:00,36.20
1997-04-01 00:00:00,14.20
1997-05-01 00:00:00,16.10
1997-06-01 00:00:00,80.90
1997-07-01 00:00:00,162.30
1997-08-01 00:00:00,147.90
1997-09-01 00:00:00,193.60
1997-10-01 00:00:00,90.30
1997-11-01 00:00:00,122.20
1997-12-01 00:00:00,68.70
1998-01-01 00:00:00,42.70
1998-02-01 00:00:00,3.90
1998-03-01 00:00:00,51.20
1998-04-01 00:00:00,87.20
1998-05-01 00:00:00,157.70
1998-06-01 00:00:00,153.10
1998-07-01 00:00:00,117.50
1998-08-01 00:00:00,162.80
1998-09-01 00:00:00,220.80
1998-10-01 00:00:00,177.10
1998-11-01 00:00:00,27.40
1998-12-01 00:00:00,327.90
1999-01-01 00:00:00,41.90
1999-02-01 00:00:00,20.60
1999-03-01 00:00:00,87.20
1999-04-01 00:00:00,74.90
1999-05-01 00:00:00,13.04
1999-06-01 00:00:00,63.10
1999-07-01 00:00:00,142.90
1999-08-01 00:00:00,113.20
1999-09-01 00:00:00,177.61
1999-10-01 00:00:00,263.40
1999-11-01 00:00:00,105.00
1999-12-01 00:00:00,153.90
2000-01-01 00:00:00,76.00
2000-02-01 00:00:00,76.90
2000-03-01 00:00:00,54.40
2000-04-01 00:00:00,46.30
2000-05-01 00:00:00,63.60
2000-06-01 00:00:00,71.60
2000-07-01 00:00:00,83.60
2000-08-01 00:00:00,70.40
2000-09-01 00:00:00,148.40
2000-10-01 00:00:00,98.30
2000-11-01 00:00:00,364.80
2000-12-01 00:00:00,125.50
2001-01-01 00:00:00,35.40
2001-02-01 00:00:00,37.00
2001-03-01 00:00:00,7.30
2001-04-01 00:00:00,13.20
2001-05-01 00:00:00,39.80
2001-06-01 00:00:00,71.90
2001-07-01 00:00:00,248.70
2001-08-01 00:00:00,125.90
2001-09-01 00:00:00,107.40
2001-10-01 00:00:00,347.70
2001-11-01 00:00:00,60.90
2001-12-01 00:00:00,122.50
2002-01-01 00:00:00,41.00
2002-02-01 00:00:00,55.60
2002-03-01 00:00:00,15.00
2002-04-01 00:00:00,43.10
2002-05-01 00:00:00,97.90
2002-06-01 00:00:00,81.70
2002-07-01 00:00:00,68.70
2002-08-01 00:00:00,158.20
2002-09-01 00:00:00,148.50
2002-10-01 00:00:00,158.40
2002-11-01 00:00:00,81.50
2002-12-01 00:00:00,15.10
2003-01-01 00:00:00,48.70
2003-02-01 00:00:00,59.30
2003-03-01 00:00:00,21.70
2003-04-01 00:00:00,15.30
2003-05-01 00:00:00,11.50
2003-06-01 00:00:00,47.20
2003-07-01 00:00:00,113.30
2003-08-01 00:00:00,157.10
2003-09-01 00:00:00,75.60
2003-10-01 00:00:00,205.50
2003-11-01 00:00:00,203.40
2003-12-01 00:00:00,21.10
2004-01-01 00:00:00,50.80
2004-02-01 00:00:00,45.50
2004-03-01 00:00:00,48.30
2004-04-01 00:00:00,127.00
2004-05-01 00:00:00,204.90
2004-06-01 00:00:00,128.00
2004-07-01 00:00:00,127.00
2004-08-01 00:00:00,125.20
2004-09-01 00:00:00,125.50
2004-10-01 00:00:00,130.30
2004-11-01 00:00:00,403.90
2004-12-01 00:00:00,106.90
2005-01-01 00:00:00,200.40
2005-02-01 00:00:00,19.20
2005-03-01 00:00:00,16.90
2005-04-01 00:00:00,17.60
2005-05-01 00:00:00,249.10
2005-06-01 00:00:00,197.60
2005-07-01 00:00:00,111.40
2005-08-01 00:00:00,183.30
2005-09-01 00:00:00,62.50
2005-10-01 00:00:00,118.60
2005-11-01 00:00:00,378.40
2005-12-01 00:00:00,130.00
2006-01-01 00:00:00,140.60
2006-02-01 00:00:00,88.90
2006-03-01 00:00:00,34.60
2006-04-01 00:00:00,22.60
2006-05-01 00:00:00,22.20
2006-06-01 00:00:00,87.20
2006-07-01 00:00:00,53.20
2006-08-01 00:00:00,148.90
2006-09-01 00:00:00,112.50
2006-10-01 00:00:00,197.00
2006-11-01 00:00:00,141.30
2006-12-01 00:00:00,98.80
2007-01-01 00:00:00,68.50
2007-02-01 00:00:00,43.00
2007-03-01 00:00:00,42.80
2007-04-01 00:00:00,74.20
2007-05-01 00:00:00,12.20
2007-06-01 00:00:00,217.60
2007-07-01 00:00:00,69.20
2007-08-01 00:00:00,212.70
2007-09-01 00:00:00,79.30
2007-10-01 00:00:00,197.00
2007-11-01 00:00:00,138.90
2007-12-01 00:00:00,119.10
2008-01-01 00:00:00,89.20
2008-02-01 00:00:00,41.60
2008-03-01 00:00:00,34.50
2008-04-01 00:00:00,49.30
2008-05-01 00:00:00,16.90
2008-06-01 00:00:00,142.10
2008-07-01 00:00:00,150.60
2008-08-01 00:00:00,125.10
2008-09-01 00:00:00,184.30
2008-10-01 00:00:00,330.80
2008-11-01 00:00:00,176.80
2008-12-01 00:00:00,137.50
2009-01-01 00:00:00,127.50
2009-02-01 00:00:00,24.60
2009-03-01 00:00:00,34.80
2009-04-01 00:00:00,70.80
2009-05-01 00:00:00,54.10
2009-06-01 00:00:00,74.90
2009-07-01 00:00:00,121.40
2009-08-01 00:00:00,160.50
2009-09-01 00:00:00,125.20
2009-10-01 00:00:00,82.10
2009-11-01 00:00:00,125.90
2009-12-01 00:00:00,13.30
2010-01-01 00:00:00,25.30
2010-02-01 00:00:00,3.60
2010-03-01 00:00:00,18.70
2010-04-01 00:00:00,85.80
2010-05-01 00:00:00,122.30
2010-06-01 00:00:00,181.10
2010-07-01 00:00:00,303.50
2010-08-01 00:00:00,178.40
2010-09-01 00:00:00,317.00
2010-10-01 00:00:00,457.30
2010-11-01 00:00:00,97.70
2010-12-01 00:00:00,95.10
