month,canefield-airport,elville-hall-airport
1970-01-01 00:00:00,,67.30
1970-02-01 00:00:00,,60.50
1970-03-01 00:00:00,,67.80
1970-04-01 00:00:00,,67.60
1970-05-01 00:00:00,,215.10
1970-06-01 00:00:00,,326.60
1970-07-01 00:00:00,,406.40
1970-08-01 00:00:00,,320.30
1970-09-01 00:00:00,,369.30
1970-10-01 00:00:00,,536.70
1970-11-01 00:00:00,,430.30
1970-12-01 00:00:00,,484.60
1971-01-01 00:00:00,,96.50
1971-02-01 00:00:00,,85.30
1971-03-01 00:00:00,,42.20
1971-04-01 00:00:00,,49.80
1971-05-01 00:00:00,,137.70
1971-06-01 00:00:00,,117.10
1971-07-01 00:00:00,,176.50
1971-08-01 00:00:00,,254.80
1971-09-01 00:00:00,,116.30
1971-10-01 00:00:00,,178.80
1971-11-01 00:00:00,,64.30
1971-12-01 00:00:00,,255.00
1972-01-01 00:00:00,,169.40
1972-02-01 00:00:00,,183.40
1972-03-01 00:00:00,,256.50
1972-04-01 00:00:00,,259.10
1972-05-01 00:00:00,,155.40
1972-06-01 00:00:00,,220.20
1972-07-01 00:00:00,,104.60
1972-08-01 00:00:00,,403.60
1972-09-01 00:00:00,,359.40
1972-10-01 00:00:00,,320.30
1972-11-01 00:00:00,,266.20
1972-12-01 00:00:00,,224.80
1973-01-01 00:00:00,,120.40
1973-02-01 00:00:00,,91.70
1973-03-01 00:00:00,,106.20
1973-04-01 00:00:00,,93.50
1973-05-01 00:00:00,,36.60
1973-06-01 00:00:00,,227.30
1973-07-01 00:00:00,,143.80
1973-08-01 00:00:00,,309.40
1973-09-01 00:00:00,,371.90
1973-10-01 00:00:00,,179.60
1973-11-01 00:00:00,,156.20
1973-12-01 00:00:00,,116.80
1974-01-01 00:00:00,,228.60
1974-02-01 00:00:00,,148.60
1974-03-01 00:00:00,,187.20
1974-04-01 00:00:00,,67.60
1974-05-01 00:00:00,,163.30
1974-06-01 00:00:00,,168.90
1974-07-01 00:00:00,,102.40
1974-08-01 00:00:00,,233.40
1974-09-01 00:00:00,,366.50
1974-10-01 00:00:00,,312.90
1974-11-01 00:00:00,,219.00
1974-12-01 00:00:00,,212.90
1975-01-01 00:00:00,,113.50
1975-02-01 00:00:00,,199.60
1975-03-01 00:00:00,,144.00
1975-04-01 00:00:00,,40.90
1975-05-01 00:00:00,,84.60
1975-06-01 00:00:00,,79.00
1975-07-01 00:00:00,,57.20
1975-08-01 00:00:00,,127.80
1975-09-01 00:00:00,,138.40
1975-10-01 00:00:00,,470.20
1975-11-01 00:00:00,,332.20
1975-12-01 00:00:00,,494.80
1976-01-01 00:00:00,,215.90
1976-02-01 00:00:00,,144.50
1976-03-01 00:00:00,,77.50
1976-04-01 00:00:00,,82.30
1976-05-01 00:00:00,,184.90
1976-06-01 00:00:00,,152.20
1976-07-01 00:00:00,,135.40
1976-08-01 00:00:00,,160.00
1976-09-01 00:00:00,,277.90
1976-10-01 00:00:00,,532.90
1976-11-01 00:00:00,,294.10
1976-12-01 00:00:00,,560.80
1977-01-01 00:00:00,,62.00
1977-02-01 00:00:00,,28.50
1977-03-01 00:00:00,,72.10
1977-04-01 00:00:00,,131.10
1977-05-01 00:00:00,,116.80
1977-06-01 00:00:00,,71.60
1977-07-01 00:00:00,,136.10
1977-08-01 00:00:00,,284.70
1977-09-01 00:00:00,,328.40
1977-10-01 00:00:00,,430.50
1977-11-01 00:00:00,,439.40
1977-12-01 00:00:00,,110.20
1978-01-01 00:00:00,,284.70
1978-02-01 00:00:00,,29.70
1978-03-01 00:00:00,,110.00
1978-04-01 00:00:00,,192.50
1978-05-01 00:00:00,,204.80
1978-06-01 00:00:00,,116.80
1978-07-01 00:00:00,,175.50
1978-08-01 00:00:00,,232.70
1978-09-01 00:00:00,,252.00
1978-10-01 00:00:00,,238.80
1978-11-01 00:00:00,,184.70
1978-12-01 00:00:00,,101.60
1979-01-01 00:00:00,,64.30
1979-02-01 00:00:00,,113.30
1979-03-01 00:00:00,,218.20
1979-04-01 00:00:00,,30.50
1979-05-01 00:00:00,,205.50
1979-06-01 00:00:00,,439.70
1979-07-01 00:00:00,,234.70
1979-08-01 00:00:00,,378.20
1979-09-01 00:00:00,,499.40
1979-10-01 00:00:00,,469.60
1979-11-01 00:00:00,,651.30
1979-12-01 00:00:00,,227.60
1980-01-01 00:00:00,,95.80
1980-02-01 00:00:00,,133.60
1980-03-01 00:00:00,,51.80
1980-04-01 00:00:00,,120.70
1980-05-01 00:00:00,,85.60
1980-06-01 00:00:00,,267.00
1980-07-01 00:00:00,,208.30
1980-08-01 00:00:00,,284.20
1980-09-01 00:00:00,,241.80
1980-10-01 00:00:00,,291.30
1980-11-01 00:00:00,,311.70
1980-12-01 00:00:00,,165.60
1981-01-01 00:00:00,,209.00
1981-02-01 00:00:00,,128.00
1981-03-01 00:00:00,,60.70
1981-04-01 00:00:00,,772.90
1981-05-01 00:00:00,,420.40
1981-06-01 00:00:00,,207.00
1981-07-01 00:00:00,,207.00
1981-08-01 00:00:00,,399.80
1981-09-01 00:00:00,,334.80
1981-10-01 00:00:00,,266.20
1981-11-01 00:00:00,,214.40
1981-12-01 00:00:00,,505.00
1982-01-01 00:00:00,98.50,115.10
1982-02-01 00:00:00,131.50,185.10
1982-03-01 00:00:00,101.50,85.10
1982-04-01 00:00:00,50.70,129.00
1982-05-01 00:00:00,151.60,573.40
1982-06-01 00:00:00,123.90,181.10
1982-07-01 00:00:00,227.10,368.20
1982-08-01 00:00:00,251.70,244.50
1982-09-01 00:00:00,268.60,253.80
1982-10-01 00:00:00,178.60,214.80
1982-11-01 00:00:00,177.40,406.70
1982-12-01 00:00:00,97.10,614.30
1983-01-01 00:00:00,103.80,88.40
1983-02-01 00:00:00,6.40,130.30
1983-03-01 00:00:00,69.10,138.80
1983-04-01 00:00:00,3.50,53.00
1983-05-01 00:00:00,103.40,350.50
1983-06-01 00:00:00,81.20,134.10
1983-07-01 00:00:00,313.90,185.20
1983-08-01 00:00:00,275.70,181.40
1983-09-01 00:00:00,299.40,334.90
1983-10-01 00:00:00,100.30,140.50
1983-11-01 00:00:00,97.30,97.20
1983-12-01 00:00:00,92.90,129.50
1984-01-01 00:00:00,153.30,123.80
1984-02-01 00:00:00,35.00,71.90
1984-03-01 00:00:00,39.30,198.50
1984-04-01 00:00:00,7.10,95.70
1984-05-01 00:00:00,31.60,78.40
1984-06-01 00:00:00,105.70,159.10
1984-07-01 00:00:00,332.60,229.10
1984-08-01 00:00:00,102.00,80.10
1984-09-01 00:00:00,289.00,336.10
1984-10-01 00:00:00,208.60,366.10
1984-11-01 00:00:00,438.30,694.00
1984-12-01 00:00:00,111.90,150.70
1985-01-01 00:00:00,55.80,98.40
1985-02-01 00:00:00,54.20,66.00
1985-03-01 00:00:00,50.90,153.80
1985-04-01 00:00:00,21.40,97.70
1985-05-01 00:00:00,22.40,91.80
1985-06-01 00:00:00,54.60,59.10
1985-07-01 00:00:00,137.90,188.20
1985-08-01 00:00:00,320.80,172.50
1985-09-01 00:00:00,205.60,271.10
1985-10-01 00:00:00,439.10,507.00
1985-11-01 00:00:00,223.20,472.70
1985-12-01 00:00:00,115.80,111.50
1986-01-01 00:00:00,136.60,200.90
1986-02-01 00:00:00,13.90,32.40
1986-03-01 00:00:00,112.90,170.90
1986-04-01 00:00:00,56.40,222.90
1986-05-01 00:00:00,67.20,252.00
1986-06-01 00:00:00,88.60,141.10
1986-07-01 00:00:00,100.60,154.00
1986-08-01 00:00:00,364.80,234.20
1986-09-01 00:00:00,236.60,263.20
1986-10-01 00:00:00,59.50,243.50
1986-11-01 00:00:00,280.30,698.90
1986-12-01 00:00:00,121.00,197.20
1987-01-01 00:00:00,76.20,92.40
1987-02-01 00:00:00,5.10,51.20
1987-03-01 00:00:00,18.90,66.70
1987-04-01 00:00:00,17.20,29.90
1987-05-01 00:00:00,298.30,815.70
1987-06-01 00:00:00,245.20,424.30
1987-07-01 00:00:00,265.90,160.50
1987-08-01 00:00:00,156.50,236.40
1987-09-01 00:00:00,129.00,120.40
1987-10-01 00:00:00,181.30,389.20
1987-11-01 00:00:00,297.50,721.80
1987-12-01 00:00:00,74.00,140.80
1988-01-01 00:00:00,131.90,135.50
1988-02-01 00:00:00,43.00,98.20
1988-03-01 00:00:00,88.80,173.20
1988-04-01 00:00:00,95.70,153.00
1988-05-01 00:00:00,152.60,197.70
1988-06-01 00:00:00,172.50,247.00
1988-07-01 00:00:00,297.00,273.30
1988-08-01 00:00:00,375.40,442.50
1988-09-01 00:00:00,211.00,370.20
1988-10-01 00:00:00,240.30,344.50
1988-11-01 00:00:00,300.60,316.20
1988-12-01 00:00:00,85.90,140.60
1989-01-01 00:00:00,85.70,68.60
1989-02-01 00:00:00,129.90,196.60
1989-03-01 00:00:00,111.00,260.60
1989-04-01 00:00:00,91.50,130.10
1989-05-01 00:00:00,14.00,55.20
1989-06-01 00:00:00,104.30,43.10
1989-07-01 00:00:00,345.20,273.20
1989-08-01 00:00:00,179.10,411.20
1989-09-01 00:00:00,404.10,545.50
1989-10-01 00:00:00,80.80,277.00
1989-11-01 00:00:00,125.70,148.30
1989-12-01 00:00:00,118.00,163.90
1990-01-01 00:00:00,188.50,97.90
1990-02-01 00:00:00,92.50,122.20
1990-03-01 00:00:00,57.50,102.50
1990-04-01 00:00:00,23.30,296.90
1990-05-01 00:00:00,101.80,191.80
1990-06-01 00:00:00,129.80,121.50
1990-07-01 00:00:00,162.90,151.30
1990-08-01 00:00:00,233.60,205.50
1990-09-01 00:00:00,101.70,210.40
1990-10-01 00:00:00,436.90,360.80
1990-11-01 00:00:00,206.30,291.80
1990-12-01 00:00:00,75.30,213.10
1991-01-01 00:00:00,140.30,69.00
1991-02-01 00:00:00,79.20,103.10
1991-03-01 00:00:00,70.70,84.30
1991-04-01 00:00:00,45.70,116.90
1991-05-01 00:00:00,17.00,63.20
1991-06-01 00:00:00,156.90,248.00
1991-07-01 00:00:00,116.60,172.90
1991-08-01 00:00:00,118.30,180.10
1991-09-01 00:00:00,196.60,247.40
1991-10-01 00:00:00,29.70,94.20
1991-11-01 00:00:00,251.30,490.70
1991-12-01 00:00:00,88.40,192.20
1992-01-01 00:00:00,48.20,147.90
1992-02-01 00:00:00,64.40,77.10
1992-03-01 00:00:00,9.00,50.70
1992-04-01 00:00:00,95.20,153.90
1992-05-01 00:00:00,53.30,239.20
1992-06-01 00:00:00,307.60,247.90
1992-07-01 00:00:00,283.80,247.50
1992-08-01 00:00:00,321.30,315.70
1992-09-01 00:00:00,387.60,345.40
1992-10-01 00:00:00,27.60,141.80
1992-11-01 00:00:00,165.00,283.40
1992-12-01 00:00:00,150.90,189.30
1993-01-01 00:00:00,181.90,156.10
1993-02-01 00:00:00,91.30,170.30
1993-03-01 00:00:00,46.30,109.10
1993-04-01 00:00:00,46.80,143.70
1993-05-01 00:00:00,159.60,545.00
1993-06-01 00:00:00,129.30,174.50
1993-07-01 00:00:00,229.70,210.90
1993-08-01 00:00:00,163.00,259.60
1993-09-01 00:00:00,325.20,465.10
1993-10-01 00:00:00,137.50,239.40
1993-11-01 00:00:00,337.20,375.30
1993-12-01 00:00:00,66.40,206.90
1994-01-01 00:00:00,86.90,80.00
1994-02-01 00:00:00,66.90,89.60
1994-03-01 00:00:00,19.30,27.70
1994-04-01 00:00:00,122.80,49.20
1994-05-01 00:00:00,124.90,194.40
1994-06-01 00:00:00,93.60,88.80
1994-07-01 00:00:00,45.10,57.40
1994-08-01 00:00:00,248.60,181.40
1994-09-01 00:00:00,421.30,370.80
1994-10-01 00:00:00,100.60,269.20
1994-11-01 00:00:00,147.10,246.40
1994-12-01 00:00:00,70.10,295.40
1995-01-01 00:00:00,40.40,217.20
1995-02-01 00:00:00,44.50,107.00
1995-03-01 00:00:00,48.50,317.40
1995-04-01 00:00:00,30.90,178.30
1995-05-01 00:00:00,49.60,68.30
1995-06-01 00:00:00,55.00,58.80
1995-07-01 00:00:00,259.30,293.80
1995-08-01 00:00:00,446.50,407.00
1995-09-01 00:00:00,380.30,552.00
1995-10-01 00:00:00,165.90,254.20
1995-11-01 00:00:00,90.20,201.40
1995-12-01 00:00:00,95.10,218.40
1996-01-01 00:00:00,117.20,127.20
1996-02-01 00:00:00,59.20,77.20
1996-03-01 00:00:00,54.80,171.80
1996-04-01 00:00:00,52.20,113.20
1996-05-01 00:00:00,32.50,114.70
1996-06-01 00:00:00,134.70,144.40
1996-07-01 00:00:00,316.60,328.50
1996-08-01 00:00:00,296.30,170.80
1996-09-01 00:00:00,434.40,569.10
1996-10-01 00:00:00,249.00,372.60
1996-11-01 00:00:00,121.40,240.40
1996-12-01 00:00:00,118.00,279.00
1997-01-01 00:00:00,92.30,179.70
1997-02-01 00:00:00,119.00,86.20
1997-03-01 00:00:00,47.80,123.80
1997-04-01 00:00:00,7.50,18.80
1997-05-01 00:00:00,118.30,277.30
1997-06-01 00:00:00,115.40,129.20
1997-07-01 00:00:00,351.60,338.20
1997-08-01 00:00:00,261.80,208.20
1997-09-01 00:00:00,270.00,243.90
1997-10-01 00:00:00,90.80,309.30
1997-11-01 00:00:00,236.20,150.00
1997-12-01 00:00:00,49.30,130.50
1998-01-01 00:00:00,187.30,249.00
1998-02-01 00:00:00,14.40,33.20
1998-03-01 00:00:00,45.60,65.40
1998-04-01 00:00:00,80.70,227.80
1998-05-01 00:00:00,126.40,292.30
1998-06-01 00:00:00,245.60,253.90
1998-07-01 00:00:00,363.20,305.50
1998-08-01 00:00:00,241.00,257.20
1998-09-01 00:00:00,240.80,260.90
1998-10-01 00:00:00,327.70,644.90
1998-11-01 00:00:00,118.10,356.70
1998-12-01 00:00:00,213.40,372.50
1999-01-01 00:00:00,154.70,204.80
1999-02-01 00:00:00,7.90,103.00
1999-03-01 00:00:00,35.90,168.50
1999-04-01 00:00:00,69.30,216.00
1999-05-01 00:00:00,16.20,76.00
1999-06-01 00:00:00,258.40,215.40
1999-07-01 00:00:00,222.60,232.20
1999-08-01 00:00:00,154.40,140.50
1999-09-01 00:00:00,151.20,184.80
1999-10-01 00:00:00,182.80,355.80
1999-11-01 00:00:00,333.10,279.10
1999-12-01 00:00:00,74.30,133.00
2000-01-01 00:00:00,166.10,213.60
2000-02-01 00:00:00,47.80,90.10
2000-03-01 00:00:00,20.40,98.60
2000-04-01 00:00:00,47.80,76.60
2000-05-01 00:00:00,57.40,139.00
2000-06-01 00:00:00,63.80,106.00
2000-07-01 00:00:00,139.80,189.90
2000-08-01 00:00:00,182.60,236.60
2000-09-01 00:00:00,185.10,241.20
2000-10-01 00:00:00,74.00,273.40
2000-11-01 00:00:00,135.10,460.40
2000-12-01 00:00:00,146.20,122.40
2001-01-01 00:00:00,31.30,82.70
2001-02-01 00:00:00,92.80,97.10
2001-03-01 00:00:00,30.30,50.30
2001-04-01 00:00:00,26.10,75.00
2001-05-01 00:00:00,13.40,12.10
2001-06-01 00:00:00,73.10,129.20
2001-07-01 00:00:00,320.70,314.80
2001-08-01 00:00:00,327.50,257.20
2001-09-01 00:00:00,86.30,134.70
2001-10-01 00:00:00,332.10,522.00
2001-11-01 00:00:00,28.40,109.30
2001-12-01 00:00:00,211.20,631.40
2002-01-01 00:00:00,96.40,95.70
2002-02-01 00:00:00,92.60,118.80
2002-03-01 00:00:00,61.50,104.20
2002-04-01 00:00:00,128.40,467.10
2002-05-01 00:00:00,115.80,339.10
2002-06-01 00:00:00,125.80,115.00
2002-07-01 00:00:00,183.80,210.40
2002-08-01 00:00:00,176.00,168.60
2002-09-01 00:00:00,175.20,167.30
2002-10-01 00:00:00,173.40,225.60
2002-11-01 00:00:00,91.40,254.30
2002-12-01 00:00:00,53.20,99.80
2003-01-01 00:00:00,45.10,83.00
2003-02-01 00:00:00,73.40,57.20
2003-03-01 00:00:00,15.60,35.10
2003-04-01 00:00:00,162.10,174.90
2003-05-01 00:00:00,71.70,139.20
2003-06-01 00:00:00,219.10,346.50
2003-07-01 00:00:00,267.20,309.60
2003-08-01 00:00:00,210.80,328.70
2003-09-01 00:00:00,55.80,146.90
2003-10-01 00:00:00,189.90,347.30
2003-11-01 00:00:00,255.60,526.70
2003-12-01 00:00:00,77.70,223.90
2004-01-01 00:00:00,44.30,148.70
2004-02-01 00:00:00,85.10,106.40
2004-03-01 00:00:00,129.20,141.70
2004-04-01 00:00:00,9.50,76.40
2004-05-01 00:00:00,252.60,627.70
2004-06-01 00:00:00,230.10,117.10
2004-07-01 00:00:00,369.60,269.20
2004-08-01 00:00:00,251.90,231.40
2004-09-01 00:00:00,231.20,744.50
2004-10-01 00:00:00,136.90,182.70
2004-11-01 00:00:00,254.30,912.00
2004-12-01 00:00:00,62.60,174.00
2005-01-01 00:00:00,97.50,168.30
2005-02-01 00:00:00,62.90,196.50
2005-03-01 00:00:00,5.50,31.20
2005-04-01 00:00:00,22.30,60.90
2005-05-01 00:00:00,163.20,208.30
2005-06-01 00:00:00,282.60,369.30
2005-07-01 00:00:00,231.40,231.80
2005-08-01 00:00:00,112.60,229.00
2005-09-01 00:00:00,159.90,150.40
2005-10-01 00:00:00,287.70,352.50
2005-11-01 00:00:00,324.00,320.30
2005-12-01 00:00:00,53.50,99.10
2006-01-01 00:00:00,170.80,94.30
2006-02-01 00:00:00,65.30,51.60
2006-03-01 00:00:00,38.70,94.80
2006-04-01 00:00:00,32.30,72.10
2006-05-01 00:00:00,25.90,172.30
2006-06-01 00:00:00,381.30,350.60
2006-07-01 00:00:00,213.80,293.30
2006-08-01 00:00:00,187.50,201.10
2006-09-01 00:00:00,180.50,192.70
2006-10-01 00:00:00,219.50,477.10
2006-11-01 00:00:00,56.30,243.00
2006-12-01 00:00:00,165.90,311.70
2007-01-01 00:00:00,45.40,174.00
2007-02-01 00:00:00,27.90,53.60
2007-03-01 00:00:00,32.50,79.90
2007-04-01 00:00:00,29.10,105.50
2007-05-01 00:00:00,9.80,81.20
2007-06-01 00:00:00,60.00,153.80
2007-07-01 00:00:00,141.80,141.00
2007-08-01 00:00:00,539.40,409.60
2007-09-01 00:00:00,389.40,263.30
2007-10-01 00:00:00,176.70,586.50
2007-11-01 00:00:00,70.60,123.20
2007-12-01 00:00:00,155.40,159.40
2008-01-01 00:00:00,67.50,129.80
2008-02-01 00:00:00,85.10,134.90
2008-03-01 00:00:00,59.20,108.60
2008-04-01 00:00:00,57.60,87.50
2008-05-01 00:00:00,38.50,159.10
2008-06-01 00:00:00,192.80,154.80
2008-07-01 00:00:00,182.10,206.10
2008-08-01 00:00:00,145.20,170.70
2008-09-01 00:00:00,249.00,551.00
2008-10-01 00:00:00,222.30,368.70
2008-11-01 00:00:00,110.80,228.40
2008-12-01 00:00:00,103.10,130.30
2009-01-01 00:00:00,145.30,152.20
2009-02-01 00:00:00,46.80,85.80
2009-03-01 00:00:00,7.70,49.00
2009-04-01 00:00:00,59.00,264.50
2009-05-01 00:00:00,109.90,309.80
2009-06-01 00:00:00,107.20,257.70
2009-07-01 00:00:00,317.40,166.50
2009-08-01 00:00:00,118.00,242.40
2009-09-01 00:00:00,274.70,358.90
2009-10-01 00:00:00,136.50,235.20
2009-11-01 00:00:00,142.30,377.70
2009-12-01 00:00:00,94.10,91.20
2010-01-01 00:00:00,32.80,76.10
2010-02-01 00:00:00,0.40,4.20
2010-03-01 00:00:00,22.40,61.00
2010-04-01 00:00:00,57.50,494.20
2010-05-01 00:00:00,156.10,248.70
2010-06-01 00:00:00,240.00,351.00
2010-07-01 00:00:00,393.30,406.60
2010-08-01 00:00:00,268.30,457.30
2010-09-01 00:00:00,253.90,340.90
2010-10-01 00:00:00,291.00,232.00
2010-11-01 00:00:00,128.80,217.50
2010-12-01 00:00:00,23.80,148.10
