month,national
1970-01-01 00:00:00,171.00
1970-02-01 00:00:00,70.00
1970-03-01 00:00:00,53.00
1970-04-01 00:00:00,67.00
1970-05-01 00:00:00,330.00
1970-06-01 00:00:00,163.00
1970-07-01 00:00:00,216.00
1970-08-01 00:00:00,185.00
1970-09-01 00:00:00,235.00
1970-10-01 00:00:00,231.00
1970-11-01 00:00:00,335.00
1970-12-01 00:00:00,111.00
1971-01-01 00:00:00,84.00
1971-02-01 00:00:00,124.00
1971-03-01 00:00:00,88.00
1971-04-01 00:00:00,151.00
1971-05-01 00:00:00,100.00
1971-06-01 00:00:00,85.00
1971-07-01 00:00:00,100.00
1971-08-01 00:00:00,237.00
1971-09-01 00:00:00,137.00
1971-10-01 00:00:00,231.00
1971-11-01 00:00:00,239.00
1971-12-01 00:00:00,75.00
1972-01-01 00:00:00,38.00
1972-02-01 00:00:00,96.00
1972-03-01 00:00:00,124.00
1972-04-01 00:00:00,159.00
1972-05-01 00:00:00,197.00
1972-06-01 00:00:00,155.00
1972-07-01 00:00:00,116.00
1972-08-01 00:00:00,145.00
1972-09-01 00:00:00,201.00
1972-10-01 00:00:00,222.00
1972-11-01 00:00:00,89.00
1972-12-01 00:00:00,214.00
1973-01-01 00:00:00,113.00
1973-02-01 00:00:00,89.00
1973-03-01 00:00:00,97.00
1973-04-01 00:00:00,127.00
1973-05-01 00:00:00,88.00
1973-06-01 00:00:00,158.00
1973-07-01 00:00:00,132.00
1973-08-01 00:00:00,215.00
1973-09-01 00:00:00,218.00
1973-10-01 00:00:00,483.00
1973-11-01 00:00:00,108.00
1973-12-01 00:00:00,219.00
1974-01-01 00:00:00,85.00
1974-02-01 00:00:00,169.00
1974-03-01 00:00:00,117.00
1974-04-01 00:00:00,123.00
1974-05-01 00:00:00,107.00
1974-06-01 00:00:00,92.00
1974-07-01 00:00:00,108.00
1974-08-01 00:00:00,228.00
1974-09-01 00:00:00,285.00
1974-10-01 00:00:00,277.00
1974-11-01 00:00:00,187.00
1974-12-01 00:00:00,97.00
1975-01-01 00:00:00,65.00
1975-02-01 00:00:00,22.00
1975-03-01 00:00:00,56.00
1975-04-01 00:00:00,57.00
1975-05-01 00:00:00,140.00
1975-06-01 00:00:00,95.00
1975-07-01 00:00:00,155.00
1975-08-01 00:00:00,177.00
1975-09-01 00:00:00,245.00
1975-10-01 00:00:00,205.00
1975-11-01 00:00:00,300.00
1975-12-01 00:00:00,86.00
1976-01-01 00:00:00,132.00
1976-02-01 00:00:00,69.00
1976-03-01 00:00:00,79.00
1976-04-01 00:00:00,136.00
1976-05-01 00:00:00,79.00
1976-06-01 00:00:00,128.00
1976-07-01 00:00:00,56.00
1976-08-01 00:00:00,143.00
1976-09-01 00:00:00,131.00
1976-10-01 00:00:00,192.00
1976-11-01 00:00:00,107.00
1976-12-01 00:00:00,71.00
1977-01-01 00:00:00,66.00
1977-02-01 00:00:00,72.00
1977-03-01 00:00:00,19.00
1977-04-01 00:00:00,218.00
1977-05-01 00:00:00,356.00
1977-06-01 00:00:00,75.00
1977-07-01 00:00:00,99.00
1977-08-01 00:00:00,186.00
1977-09-01 00:00:00,173.00
1977-10-01 00:00:00,188.00
1977-11-01 00:00:00,136.00
1977-12-01 00:00:00,189.00
1978-01-01 00:00:00,162.00
1978-02-01 00:00:00,109.00
1978-03-01 00:00:00,151.00
1978-04-01 00:00:00,162.00
1978-05-01 00:00:00,217.00
1978-06-01 00:00:00,141.00
1978-07-01 00:00:00,102.00
1978-08-01 00:00:00,177.00
1978-09-01 00:00:00,158.00
1978-10-01 00:00:00,317.00
1978-11-01 00:00:00,184.00
1978-12-01 00:00:00,56.00
1979-01-01 00:00:00,41.00
1979-02-01 00:00:00,168.00
1979-03-01 00:00:00,93.00
1979-04-01 00:00:00,299.00
1979-05-01 00:00:00,218.00
1979-06-01 00:00:00,389.00
1979-07-01 00:00:00,178.00
1979-08-01 00:00:00,169.00
1979-09-01 00:00:00,498.00
1979-10-01 00:00:00,213.00
1979-11-01 00:00:00,166.00
1979-12-01 00:00:00,110.00
1980-01-01 00:00:00,133.00
1980-02-01 00:00:00,54.00
1980-03-01 00:00:00,53.00
1980-04-01 00:00:00,118.00
1980-05-01 00:00:00,205.00
1980-06-01 00:00:00,125.00
1980-07-01 00:00:00,119.00
1980-08-01 00:00:00,198.00
1980-09-01 00:00:00,209.00
1980-10-01 00:00:00,183.00
1980-11-01 00:00:00,154.00
1980-12-01 00:00:00,290.00
1981-01-01 00:00:00,78.00
1981-02-01 00:00:00,99.00
1981-03-01 00:00:00,76.00
1981-04-01 00:00:00,69.00
1981-05-01 00:00:00,251.00
1981-06-01 00:00:00,231.00
1981-07-01 00:00:00,140.00
1981-08-01 00:00:00,255.00
1981-09-01 00:00:00,136.00
1981-10-01 00:00:00,262.00
1981-11-01 00:00:00,208.00
1981-12-01 00:00:00,114.00
1982-01-01 00:00:00,101.00
1982-02-01 00:00:00,90.00
1982-03-01 00:00:00,41.00
1982-04-01 00:00:00,93.00
1982-05-01 00:00:00,334.00
1982-06-01 00:00:00,109.00
1982-07-01 00:00:00,110.00
1982-08-01 00:00:00,109.00
1982-09-01 00:00:00,211.00
1982-10-01 00:00:00,158.00
1982-11-01 00:00:00,131.00
1982-12-01 00:00:00,82.00
1983-01-01 00:00:00,73.00
1983-02-01 00:00:00,90.00
1983-03-01 00:00:00,35.00
1983-04-01 00:00:00,167.00
1983-05-01 00:00:00,317.00
1983-06-01 00:00:00,163.00
1983-07-01 00:00:00,111.00
1983-08-01 00:00:00,175.00
1983-09-01 00:00:00,130.00
1983-10-01 00:00:00,222.00
1983-11-01 00:00:00,75.00
1983-12-01 00:00:00,87.00
1984-01-01 00:00:00,103.00
1984-02-01 00:00:00,285.00
1984-03-01 00:00:00,120.00
1984-04-01 00:00:00,108.00
1984-05-01 00:00:00,194.00
1984-06-01 00:00:00,262.00
1984-07-01 00:00:00,149.00
1984-08-01 00:00:00,176.00
1984-09-01 00:00:00,228.00
1984-10-01 00:00:00,201.00
1984-11-01 00:00:00,129.00
1984-12-01 00:00:00,85.00
1985-01-01 00:00:00,63.00
1985-02-01 00:00:00,126.00
1985-03-01 00:00:00,77.00
1985-04-01 00:00:00,136.00
1985-05-01 00:00:00,151.00
1985-06-01 00:00:00,60.00
1985-07-01 00:00:00,112.00
1985-08-01 00:00:00,211.00
1985-09-01 00:00:00,171.00
1985-10-01 00:00:00,185.00
1985-11-01 00:00:00,274.00
1985-12-01 00:00:00,82.00
1986-01-01 00:00:00,238.00
1986-02-01 00:00:00,55.00
1986-03-01 00:00:00,128.00
1986-04-01 00:00:00,158.00
1986-05-01 00:00:00,346.00
1986-06-01 00:00:00,374.00
1986-07-01 00:00:00,59.00
1986-08-01 00:00:00,124.00
1986-09-01 00:00:00,181.00
1986-10-01 00:00:00,216.00
1986-11-01 00:00:00,155.00
1986-12-01 00:00:00,61.00
1987-01-01 00:00:00,92.00
1987-02-01 00:00:00,60.00
1987-03-01 00:00:00,64.00
1987-04-01 00:00:00,268.00
1987-05-01 00:00:00,179.00
1987-06-01 00:00:00,175.00
1987-07-01 00:00:00,118.00
1987-08-01 00:00:00,123.00
1987-09-01 00:00:00,185.00
1987-10-01 00:00:00,461.00
1987-11-01 00:00:00,164.00
1987-12-01 00:00:00,162.00
1988-01-01 00:00:00,121.00
1988-02-01 00:00:00,66.00
1988-03-01 00:00:00,91.00
1988-04-01 00:00:00,62.00
1988-05-01 00:00:00,144.00
1988-06-01 00:00:00,168.00
1988-07-01 00:00:00,164.00
1988-08-01 00:00:00,220.00
1988-09-01 00:00:00,364.00
1988-10-01 00:00:00,170.00
1988-11-01 00:00:00,159.00
1988-12-01 00:00:00,150.00
1989-01-01 00:00:00,106.00
1989-02-01 00:00:00,124.00
1989-03-01 00:00:00,105.00
1989-04-01 00:00:00,102.00
1989-05-01 00:00:00,191.00
1989-06-01 00:00:00,86.00
1989-07-01 00:00:00,105.00
1989-08-01 00:00:00,172.00
1989-09-01 00:00:00,211.00
1989-10-01 00:00:00,188.00
1989-11-01 00:00:00,112.00
1989-12-01 00:00:00,90.00
1990-01-01 00:00:00,96.00
1990-02-01 00:00:00,124.00
1990-03-01 00:00:00,121.00
1990-04-01 00:00:00,172.00
1990-05-01 00:00:00,127.00
1990-06-01 00:00:00,106.00
1990-07-01 00:00:00,142.00
1990-08-01 00:00:00,140.00
1990-09-01 00:00:00,169.00
1990-10-01 00:00:00,293.00
1990-11-01 00:00:00,255.00
1990-12-01 00:00:00,115.00
1991-01-01 00:00:00,49.00
1991-02-01 00:00:00,48.00
1991-03-01 00:00:00,60.00
1991-04-01 00:00:00,135.00
1991-05-01 00:00:00,354.00
1991-06-01 00:00:00,93.00
1991-07-01 00:00:00,94.00
1991-08-01 00:00:00,110.00
1991-09-01 00:00:00,135.00
1991-10-01 00:00:00,162.00
1991-11-01 00:00:00,172.00
1991-12-01 00:00:00,72.00
1992-01-01 00:00:00,68.00
1992-02-01 00:00:00,83.00
1992-03-01 00:00:00,64.00
1992-04-01 00:00:00,129.00
1992-05-01 00:00:00,280.00
1992-06-01 00:00:00,133.00
1992-07-01 00:00:00,96.00
1992-08-01 00:00:00,151.00
1992-09-01 00:00:00,189.00
1992-10-01 00:00:00,144.00
1992-11-01 00:00:00,94.00
1992-12-01 00:00:00,109.00
1993-01-01 00:00:00,153.00
1993-02-01 00:00:00,89.00
1993-03-01 00:00:00,192.00
1993-04-01 00:00:00,240.00
1993-05-01 00:00:00,595.00
1993-06-01 00:00:00,109.00
1993-07-01 00:00:00,98.00
1993-08-01 00:00:00,117.00
1993-09-01 00:00:00,225.00
1993-10-01 00:00:00,154.00
1993-11-01 00:00:00,187.00
1993-12-01 00:00:00,114.00
1994-01-01 00:00:00,179.00
1994-02-01 00:00:00,71.00
1994-03-01 00:00:00,87.00
1994-04-01 00:00:00,145.00
1994-05-01 00:00:00,266.00
1994-06-01 00:00:00,56.00
1994-07-01 00:00:00,85.00
1994-08-01 00:00:00,167.00
1994-09-01 00:00:00,136.00
1994-10-01 00:00:00,149.00
1994-11-01 00:00:00,241.00
1994-12-01 00:00:00,63.00
1995-01-01 00:00:00,91.00
1995-02-01 00:00:00,78.00
1995-03-01 00:00:00,87.00
1995-04-01 00:00:00,73.00
1995-05-01 00:00:00,196.00
1995-06-01 00:00:00,105.00
1995-07-01 00:00:00,146.00
1995-08-01 00:00:00,232.00
1995-09-01 00:00:00,171.00
1995-10-01 00:00:00,279.00
1995-11-01 00:00:00,195.00
1995-12-01 00:00:00,139.00
1996-01-01 00:00:00,101.00
1996-02-01 00:00:00,160.00
1996-03-01 00:00:00,88.00
1996-04-01 00:00:00,141.00
1996-05-01 00:00:00,186.00
1996-06-01 00:00:00,137.00
1996-07-01 00:00:00,132.00
1996-08-01 00:00:00,154.00
1996-09-01 00:00:00,186.00
1996-10-01 00:00:00,234.00
1996-11-01 00:00:00,275.00
1996-12-01 00:00:00,38.00
1997-01-01 00:00:00,80.00
1997-02-01 00:00:00,67.00
1997-03-01 00:00:00,58.00
1997-04-01 00:00:00,54.00
1997-05-01 00:00:00,94.00
1997-06-01 00:00:00,181.00
1997-07-01 00:00:00,92.00
1997-08-01 00:00:00,107.00
1997-09-01 00:00:00,138.00
1997-10-01 00:00:00,194.00
1997-11-01 00:00:00,119.00
1997-12-01 00:00:00,90.00
1998-01-01 00:00:00,110.00
1998-02-01 00:00:00,38.00
1998-03-01 00:00:00,190.00
1998-04-01 00:00:00,57.00
1998-05-01 00:00:00,87.00
1998-06-01 00:00:00,107.00
1998-07-01 00:00:00,147.00
1998-08-01 00:00:00,144.00
1998-09-01 00:00:00,189.00
1998-10-01 00:00:00,281.00
1998-11-01 00:00:00,204.00
1998-12-01 00:00:00,216.00
1999-01-01 00:00:00,114.00
1999-02-01 00:00:00,117.00
1999-03-01 00:00:00,123.00
1999-04-01 00:00:00,55.00
1999-05-01 00:00:00,166.00
1999-06-01 00:00:00,152.00
1999-07-01 00:00:00,103.00
1999-08-01 00:00:00,167.00
1999-09-01 00:00:00,267.00
1999-10-01 00:00:00,267.00
1999-11-01 00:00:00,204.00
1999-12-01 00:00:00,46.00
2000-01-01 00:00:00,76.00
2000-02-01 00:00:00,40.00
2000-03-01 00:00:00,21.00
2000-04-01 00:00:00,75.00
2000-05-01 00:00:00,204.00
2000-06-01 00:00:00,84.00
2000-07-01 00:00:00,102.00
2000-08-01 00:00:00,108.00
2000-09-01 00:00:00,254.00
2000-10-01 00:00:00,213.00
2000-11-01 00:00:00,104.00
2000-12-01 00:00:00,257.00
2001-01-01 00:00:00,132.00
2001-02-01 00:00:00,41.00
2001-03-01 00:00:00,57.00
2001-04-01 00:00:00,144.00
2001-05-01 00:00:00,303.00
2001-06-01 00:00:00,49.00
2001-07-01 00:00:00,142.00
2001-08-01 00:00:00,83.00
2001-09-01 00:00:00,140.00
2001-10-01 00:00:00,313.00
2001-11-01 00:00:00,249.00
2001-12-01 00:00:00,187.00
2002-01-01 00:00:00,89.00
2002-02-01 00:00:00,38.00
2002-03-01 00:00:00,43.00
2002-04-01 00:00:00,125.00
2002-05-01 00:00:00,510.00
2002-06-01 00:00:00,200.00
2002-07-01 00:00:00,87.00
2002-08-01 00:00:00,120.00
2002-09-01 00:00:00,600.00
2002-10-01 00:00:00,133.00
2002-11-01 00:00:00,110.00
2002-12-01 00:00:00,116.00
2003-01-01 00:00:00,188.00
2003-02-01 00:00:00,46.00
2003-03-01 00:00:00,69.00
2003-04-01 00:00:00,150.00
2003-05-01 00:00:00,236.00
2003-06-01 00:00:00,117.00
2003-07-01 00:00:00,116.00
2003-08-01 00:00:00,233.00
2003-09-01 00:00:00,154.00
2003-10-01 00:00:00,214.00
2003-11-01 00:00:00,147.00
2003-12-01 00:00:00,185.00
2004-01-01 00:00:00,67.00
2004-02-01 00:00:00,34.00
2004-03-01 00:00:00,121.00
2004-04-01 00:00:00,129.00
2004-05-01 00:00:00,256.00
2004-06-01 00:00:00,51.00
2004-07-01 00:00:00,143.00
2004-08-01 00:00:00,158.00
2004-09-01 00:00:00,454.00
2004-10-01 00:00:00,158.00
2004-11-01 00:00:00,78.00
2004-12-01 00:00:00,152.00
2005-01-01 00:00:00,101.00
2005-02-01 00:00:00,7.00
2005-03-01 00:00:00,12.00
2005-04-01 00:00:00,176.00
2005-05-01 00:00:00,223.00
2005-06-01 00:00:00,234.00
2005-07-01 00:00:00,495.00
2005-08-01 00:00:00,147.00
2005-09-01 00:00:00,169.00
2005-10-01 00:00:00,578.00
2005-11-01 00:00:00,204.00
2005-12-01 00:00:00,80.00
2006-01-01 00:00:00,73.00
2006-02-01 00:00:00,97.00
2006-03-01 00:00:00,34.00
2006-04-01 00:00:00,131.00
2006-05-01 00:00:00,127.00
2006-06-01 00:00:00,170.00
2006-07-01 00:00:00,142.00
2006-08-01 00:00:00,180.00
2006-09-01 00:00:00,156.00
2006-10-01 00:00:00,196.00
2006-11-01 00:00:00,240.00
2006-12-01 00:00:00,119.00
2007-01-01 00:00:00,111.00
2007-02-01 00:00:00,37.00
2007-03-01 00:00:00,236.00
2007-04-01 00:00:00,82.00
2007-05-01 00:00:00,264.00
2007-06-01 00:00:00,116.00
2007-07-01 00:00:00,79.00
2007-08-01 00:00:00,304.00
2007-09-01 00:00:00,152.00
2007-10-01 00:00:00,395.00
2007-11-01 00:00:00,294.00
2007-12-01 00:00:00,69.00
2008-01-01 00:00:00,78.00
2008-02-01 00:00:00,37.00
2008-03-01 00:00:00,114.00
2008-04-01 00:00:00,140.00
2008-05-01 00:00:00,138.00
2008-06-01 00:00:00,156.00
2008-07-01 00:00:00,153.00
2008-08-01 00:00:00,369.00
2008-09-01 00:00:00,210.00
2008-10-01 00:00:00,261.00
2008-11-01 00:00:00,257.00
2008-12-01 00:00:00,47.00
2009-01-01 00:00:00,112.00
2009-02-01 00:00:00,130.00
2009-03-01 00:00:00,81.00
2009-04-01 00:00:00,117.00
2009-05-01 00:00:00,259.00
2009-06-01 00:00:00,118.00
2009-07-01 00:00:00,58.00
2009-08-01 00:00:00,145.00
2009-09-01 00:00:00,158.00
2009-10-01 00:00:00,168.00
2009-11-01 00:00:00,88.00
2009-12-01 00:00:00,132.00
2010-01-01 00:00:00,91.00
2010-02-01 00:00:00,62.00
2010-03-01 00:00:00,43.00
2010-04-01 00:00:00,137.40
2010-05-01 00:00:00,267.97
2010-06-01 00:00:00,205.04
2010-07-01 00:00:00,194.19
2010-08-01 00:00:00,184.15
2010-09-01 00:00:00,559.90
2010-10-01 00:00:00,285.77
2010-11-01 00:00:00,139.00
2010-12-01 00:00:00,102.79
